Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Lotus,Paper Rex,Evil Geniuses,10,13,7,8,"Raze,Omen,Jett,Skye,Astra","Raze,Killjoy,Viper,Skye,Astra"
Bind,Paper Rex,Evil Geniuses,5,13,3,4,"Breach,Raze,Brimstone,Skye,Yoru","Raze,Viper,Brimstone,Skye,Chamber"
Ascent,Paper Rex,Evil Geniuses,13,11,7,6,"Raze,Viper,Reyna,KAY/O,Harbor","Sova,Killjoy,Omen,Jett,KAY/O"
Split,Paper Rex,Evil Geniuses,10,13,8,9,"Raze,Viper,Jett,Skye,Astra","Raze,Viper,Jett,Skye,Astra"
Bind,Evil Geniuses,LOUD,13,8,7,3,"Raze,Viper,Brimstone,Skye,Chamber","Raze,Viper,Brimstone,Omen,Skye"
Split,Evil Geniuses,LOUD,7,13,4,9,"Raze,Viper,Skye,Astra,Chamber","Breach,Raze,Killjoy,Skye,Astra"
Pearl,Evil Geniuses,LOUD,8,13,5,9,"Sova,Killjoy,Jett,Yoru,Astra","Killjoy,Viper,Jett,Skye,Harbor"
Lotus,Evil Geniuses,LOUD,13,4,10,2,"Raze,Killjoy,Viper,Skye,Astra","Raze,Killjoy,Viper,Omen,Fade"
Ascent,Evil Geniuses,LOUD,14,12,8,7,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Haven,FNATIC,LOUD,7,13,4,5,"Breach,Sova,Killjoy,Jett,Astra","Killjoy,Viper,Jett,Skye,Harbor"
Ascent,FNATIC,LOUD,13,9,8,7,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Split,FNATIC,LOUD,4,13,0,8,"Breach,Raze,Cypher,Omen,Skye","Breach,Raze,Killjoy,Skye,Astra"
Pearl,Paper Rex,Evil Geniuses,15,13,8,7,"Killjoy,Phoenix,Jett,Skye,Astra","Sova,Killjoy,Jett,Yoru,Astra"
Bind,Paper Rex,Evil Geniuses,13,9,5,2,"Raze,Brimstone,Reyna,Skye,Harbor","Raze,Viper,Brimstone,Skye,Chamber"
Ascent,Paper Rex,Evil Geniuses,10,13,7,8,"Raze,Viper,Reyna,Skye,Harbor","Sova,Killjoy,Omen,Jett,KAY/O"
Split,DRX,FNATIC,6,13,1,7,"Raze,Killjoy,Viper,Omen,Skye","Breach,Raze,Cypher,Omen,Skye"
Haven,DRX,FNATIC,9,13,3,6,"Killjoy,Viper,Omen,Jett,Skye","Breach,Sova,Killjoy,Jett,Astra"
Bind,DRX,FNATIC,13,1,2,1,"Raze,Viper,Brimstone,Skye,Yoru","Raze,Viper,Brimstone,Skye,Chamber"
Haven,LOUD,EDward Gaming,13,11,7,6,"Killjoy,Viper,Jett,Skye,Harbor","Breach,Cypher,Sova,Omen,Jett"
Ascent,LOUD,EDward Gaming,13,5,5,4,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Bind,LOUD,EDward Gaming,11,13,5,6,"Raze,Viper,Brimstone,Omen,Skye","Raze,Viper,Brimstone,Reyna,Skye"
Lotus,DRX,Evil Geniuses,4,13,2,10,"Raze,Killjoy,Viper,Omen,Fade","Raze,Killjoy,Viper,Skye,Astra"
Fracture,DRX,Evil Geniuses,9,13,4,5,"Breach,Raze,Killjoy,Viper,Brimstone","Breach,Raze,Sova,Killjoy,Brimstone"
Pearl,LOUD,Paper Rex,10,13,5,7,"Breach,Killjoy,Jett,Astra,Fade","Killjoy,Phoenix,Jett,Skye,Astra"
Split,LOUD,Paper Rex,13,2,10,0,"Breach,Raze,Killjoy,Skye,Astra","Raze,Viper,Jett,Skye,Astra"
Lotus,LOUD,Paper Rex,13,15,5,6,"Raze,Killjoy,Viper,Omen,Fade","Raze,Omen,Jett,Skye,Astra"
Haven,Bilibili Gaming,EDward Gaming,10,13,6,7,"Breach,Sova,Killjoy,Omen,Jett","Breach,Cypher,Sova,Omen,Jett"
Split,Bilibili Gaming,EDward Gaming,15,13,5,4,"Raze,Cypher,Viper,Omen,Skye","Raze,Viper,Jett,Skye,Astra"
Bind,Bilibili Gaming,EDward Gaming,4,13,2,10,"Raze,Cypher,Viper,Brimstone,Skye","Raze,Viper,Brimstone,Skye,Chamber"
Haven,FNATIC,FUT Esports,13,9,5,2,"Breach,Sova,Killjoy,Jett,Astra","Breach,Killjoy,Omen,Jett,Gekko"
Split,FNATIC,FUT Esports,13,5,10,3,"Breach,Raze,Cypher,Omen,Skye","Viper,Omen,Jett,Skye,KAY/O"
Pearl,Evil Geniuses,EDward Gaming,13,5,5,4,"Sova,Killjoy,Jett,Yoru,Astra","Killjoy,Viper,Omen,Jett,Skye"
Ascent,Evil Geniuses,EDward Gaming,13,5,5,4,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Split,Evil Geniuses,EDward Gaming,12,14,8,9,"Raze,Viper,Skye,Astra,Chamber","Raze,Viper,Jett,Skye,Astra"
Haven,DRX,Bilibili Gaming,13,9,7,4,"Killjoy,Viper,Omen,Jett,Skye","Breach,Sova,Killjoy,Omen,Jett"
Lotus,DRX,Bilibili Gaming,13,10,2,0,"Raze,Killjoy,Viper,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
Pearl,Paper Rex,FUT Esports,13,4,11,3,"Killjoy,Phoenix,Jett,Skye,Astra","Killjoy,Viper,Brimstone,Jett,KAY/O"
Ascent,Paper Rex,FUT Esports,13,10,4,2,"Raze,Viper,Reyna,Skye,Harbor","Sova,Killjoy,Omen,Jett,KAY/O"
Lotus,FNATIC,LOUD,6,13,2,8,"Raze,Killjoy,Viper,Astra,Fade","Raze,Killjoy,Viper,Omen,Fade"
Ascent,FNATIC,LOUD,11,13,5,6,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Ascent,Bilibili Gaming,NRG Esports,13,5,8,1,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Bind,Bilibili Gaming,NRG Esports,13,10,8,7,"Raze,Cypher,Viper,Brimstone,Skye","Raze,Viper,Brimstone,Skye,Chamber"
Fracture,EDward Gaming,Giants Gaming,13,7,5,4,"Breach,Killjoy,Brimstone,Jett,Skye","Breach,Raze,Sova,Killjoy,Brimstone"
Split,EDward Gaming,Giants Gaming,13,6,9,3,"Raze,Viper,Jett,Skye,Astra","Breach,Raze,Cypher,Omen,Skye"
Pearl,FUT Esports,T1,14,12,8,7,"Killjoy,Viper,Brimstone,Jett,KAY/O","Killjoy,Viper,Jett,Skye,Harbor"
Bind,FUT Esports,T1,13,10,3,2,"Raze,Viper,Brimstone,KAY/O,Fade","Viper,Jett,Skye,Harbor,Gekko"
Bind,Natus Vincere,LOUD,11,13,6,7,"Raze,Viper,Brimstone,Skye,Neon","Raze,Viper,Brimstone,Omen,Skye"
Ascent,Natus Vincere,LOUD,11,13,5,6,"Killjoy,Omen,Jett,KAY/O,Fade","Sova,Killjoy,Omen,Jett,KAY/O"
Pearl,Natus Vincere,LOUD,13,11,5,4,"Sova,Killjoy,Jett,Astra,KAY/O","Breach,Killjoy,Jett,Astra,Fade"
Haven,ZETA DIVISION,NRG Esports,1,13,0,11,"Raze,Killjoy,Skye,Astra,Chamber","Killjoy,Viper,Jett,Skye,Harbor"
Pearl,KRÜ Esports,Giants Gaming,12,14,5,6,"Killjoy,Viper,Jett,Skye,Harbor","Cypher,Sova,Jett,Skye,Astra"
Lotus,KRÜ Esports,Giants Gaming,10,13,7,8,"Raze,Killjoy,Viper,Omen,Skye","Raze,Killjoy,Viper,Omen,Skye"
Pearl,Paper Rex,EDward Gaming,16,14,9,8,"Killjoy,Phoenix,Jett,Skye,Astra","Killjoy,Viper,Omen,Jett,Fade"
Fracture,Paper Rex,EDward Gaming,13,7,8,3,"Breach,Raze,Killjoy,Brimstone,Skye","Breach,Killjoy,Brimstone,Jett,Skye"
Bind,FunPlus Phoenix,T1,7,13,4,9,"Raze,Viper,Jett,Skye,Harbor","Viper,Jett,Skye,Harbor,Gekko"
Lotus,FunPlus Phoenix,T1,10,13,7,8,"Raze,Killjoy,Viper,Harbor,Gekko","Raze,Killjoy,Viper,Omen,Fade"
Split,Team Liquid,LOUD,8,13,2,6,"Raze,Viper,Jett,Skye,Astra","Breach,Raze,Killjoy,Skye,Astra"
Haven,Team Liquid,LOUD,2,13,2,3,"Breach,Killjoy,Omen,Jett,Skye","Killjoy,Viper,Jett,Skye,Harbor"
Lotus,FNATIC,Bilibili Gaming,13,8,9,5,"Raze,Killjoy,Viper,Astra,Fade","Raze,Killjoy,Viper,Omen,Fade"
Haven,FNATIC,Bilibili Gaming,13,2,10,0,"Breach,Sova,Killjoy,Jett,Astra","Breach,Sova,Killjoy,Omen,Jett"
Ascent,EDward Gaming,Giants Gaming,13,8,7,3,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Bind,EDward Gaming,Giants Gaming,13,11,6,5,"Raze,Viper,Brimstone,Skye,Chamber","Raze,Cypher,Viper,Brimstone,Skye"
Split,EDward Gaming,Giants Gaming,13,15,10,11,"Raze,Viper,Jett,Skye,Astra","Breach,Raze,Cypher,Omen,Skye"
Pearl,Paper Rex,KRÜ Esports,13,8,8,4,"Killjoy,Phoenix,Jett,Skye,Astra","Killjoy,Viper,Jett,Skye,Harbor"
Split,Paper Rex,KRÜ Esports,13,7,8,3,"Raze,Viper,Jett,Skye,Astra","Raze,Viper,Skye,Astra,Chamber"
Bind,Evil Geniuses,FUT Esports,13,9,7,6,"Raze,Viper,Brimstone,Skye,Chamber","Raze,Viper,Brimstone,KAY/O,Fade"
Pearl,Evil Geniuses,FUT Esports,15,13,4,3,"Sova,Killjoy,Jett,Astra,KAY/O","Killjoy,Viper,Brimstone,Jett,KAY/O"
Haven,FNATIC,ZETA DIVISION,13,6,7,1,"Breach,Sova,Killjoy,Jett,Astra","Raze,Killjoy,Skye,Astra,Chamber"
Fracture,FNATIC,ZETA DIVISION,13,5,8,1,"Breach,Raze,Sova,Killjoy,Brimstone","Breach,Raze,Brimstone,Chamber,Neon"
Split,NRG Esports,Bilibili Gaming,8,13,4,5,"Raze,Viper,Jett,Skye,Astra","Raze,Cypher,Viper,Omen,Skye"
Lotus,NRG Esports,Bilibili Gaming,12,14,7,8,"Raze,Killjoy,Viper,Omen,Skye","Raze,Killjoy,Viper,Omen,Fade"
Lotus,Natus Vincere,DRX,12,14,6,7,"Breach,Raze,Sova,Killjoy,Brimstone","Raze,Killjoy,Viper,Omen,Fade"
Split,Natus Vincere,DRX,13,9,7,6,"Raze,Cypher,Omen,Jett,Skye","Raze,Killjoy,Viper,Omen,Skye"
Bind,Natus Vincere,DRX,13,15,4,5,"Raze,Viper,Brimstone,Sage,Skye","Raze,Viper,Brimstone,Skye,Yoru"
Pearl,Evil Geniuses,FunPlus Phoenix,13,8,4,3,"Sova,Killjoy,Jett,Astra,KAY/O","Killjoy,Omen,Jett,Skye,Astra"
Ascent,Evil Geniuses,FunPlus Phoenix,13,8,7,6,"Sova,Killjoy,Omen,Jett,KAY/O","Killjoy,Omen,Jett,Skye,Astra"
Haven,FUT Esports,T1,13,7,6,5,"Breach,Killjoy,Omen,Jett,Gekko","Breach,Sova,Killjoy,Omen,Jett"
Pearl,FUT Esports,T1,13,4,4,3,"Killjoy,Viper,Brimstone,Jett,KAY/O","Killjoy,Viper,Jett,Skye,Harbor"
Ascent,DRX,LOUD,13,8,5,4,"Sova,Killjoy,Omen,Jett,KAY/O","Breach,Viper,Omen,Jett,Fade"
Split,DRX,LOUD,13,6,5,4,"Raze,Killjoy,Viper,Omen,Skye","Breach,Raze,Killjoy,Skye,Astra"
Lotus,DRX,LOUD,13,15,8,9,"Raze,Killjoy,Viper,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
Bind,Team Liquid,Natus Vincere,15,17,7,8,"Raze,Viper,Skye,Astra,Chamber","Raze,Viper,Brimstone,Skye,Neon"
Fracture,Team Liquid,Natus Vincere,11,13,6,7,"Breach,Sova,Viper,Astra,Neon","Raze,Killjoy,Viper,Omen,Fade"
Bind,FNATIC,Evil Geniuses,14,12,9,8,"Raze,Cypher,Viper,Brimstone,Skye","Raze,Brimstone,Reyna,Skye,Chamber"
Split,FNATIC,Evil Geniuses,13,11,5,4,"Breach,Raze,Cypher,Omen,Skye","Raze,Viper,Jett,Skye,Astra"
Lotus,FNATIC,Evil Geniuses,13,8,6,2,"Raze,Killjoy,Viper,Astra,Fade","Killjoy,Viper,Omen,Jett,Skye"
Ascent,Evil Geniuses,Paper Rex,13,8,8,4,"Sova,Killjoy,Omen,Jett,KAY/O","Sage,Omen,Jett,KAY/O,Fade"
Pearl,Evil Geniuses,Paper Rex,13,6,6,5,"Killjoy,Viper,Jett,Skye,Harbor","Killjoy,Phoenix,Jett,Skye,Astra"
Split,Evil Geniuses,Paper Rex,10,13,2,4,"Raze,Viper,Jett,Skye,Astra","Raze,Viper,Jett,Skye,Astra"
Lotus,Evil Geniuses,Paper Rex,12,14,7,8,"Killjoy,Viper,Omen,Jett,Skye","Raze,Cypher,Omen,Skye,Gekko"
Fracture,Evil Geniuses,Paper Rex,13,7,4,3,"Breach,Raze,Sova,Killjoy,Brimstone","Breach,Raze,Killjoy,Brimstone,Neon"
Bind,NRG Esports,Paper Rex,11,13,7,8,"Raze,Viper,Brimstone,Skye,Chamber","Raze,Brimstone,Skye,Harbor,Gekko"
Lotus,NRG Esports,Paper Rex,13,6,10,4,"Raze,Killjoy,Viper,Omen,Skye","Raze,Cypher,Omen,Skye,Gekko"
Pearl,NRG Esports,Paper Rex,13,15,6,7,"Killjoy,Viper,Jett,Skye,Harbor","Killjoy,Phoenix,Jett,Skye,Astra"
Split,FNATIC,Evil Geniuses,13,11,7,6,"Breach,Raze,Cypher,Omen,Skye","Raze,Viper,Jett,Skye,Astra"
Fracture,FNATIC,Evil Geniuses,9,13,3,4,"Breach,Raze,Killjoy,Brimstone,Fade","Breach,Raze,Sova,Killjoy,Brimstone"
Lotus,FNATIC,Evil Geniuses,13,3,10,1,"Raze,Killjoy,Viper,Astra,Fade","Breach,Killjoy,Omen,Jett,Skye"
Lotus,Paper Rex,EDward Gaming,13,8,5,4,"Raze,Cypher,Omen,Skye,Gekko","Raze,Cypher,Omen,Jett,Skye"
Split,Paper Rex,EDward Gaming,9,13,3,6,"Raze,Viper,Jett,Skye,Astra","Raze,Viper,Jett,Skye,Astra"
Fracture,Paper Rex,EDward Gaming,14,12,5,4,"Breach,Raze,Killjoy,Brimstone,Neon","Breach,Killjoy,Brimstone,Jett,Skye"
Split,Team Liquid,NRG Esports,5,13,1,8,"Cypher,Sage,Omen,Jett,Skye","Raze,Viper,Jett,Skye,Astra"
