Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Haven,Istanbul Wildcats,BBL PCIFIC,4,13,3,4,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Pearl,Istanbul Wildcats,BBL PCIFIC,9,13,4,7,"Killjoy,Omen,Yoru,Fade,Vyse","Cypher,Sova,Phoenix,Astra,Neon"
Split,Team ade (DCC),Team SurugaMonkey (DCC),5,13,2,9,"Raze,Cypher,Viper,Omen,Skye","Raze,Cypher,Omen,Jett,Skye"
Pearl,Team ade (DCC),Team SurugaMonkey (DCC),11,13,6,7,"Sova,Killjoy,Jett,Astra,KAY/O","Sova,Killjoy,Jett,Astra,KAY/O"
Haven,Team ade (DCC),Team SurugaMonkey (DCC),13,8,6,5,"Breach,Sova,Killjoy,Omen,Jett","Breach,Sova,Killjoy,Omen,Jett"
Split,Team SurugaMonkey (DCC),Team Clutch fi (DCC),17,15,6,5,"Raze,Cypher,Omen,Jett,Skye","Raze,Cypher,Omen,Jett,Skye"
Pearl,Team SurugaMonkey (DCC),Team Clutch fi (DCC),10,13,4,6,"Sova,Killjoy,Jett,Astra,KAY/O","Jett,Astra,KAY/O,Fade,Vyse"
Haven,Team SurugaMonkey (DCC),Team Clutch fi (DCC),13,9,5,4,"Breach,Sova,Killjoy,Omen,Jett","Cypher,Sova,Omen,Jett,Iso"
Split,Team Clutch fi (DCC),Team mittiiii (DCC),13,8,3,2,"Raze,Cypher,Omen,Jett,Skye","Breach,Raze,Cypher,Astra,Fade"
Split,Team ade (DCC),Team SurugaMonkey (DCC),13,4,5,4,"Raze,Cypher,Viper,Omen,Skye","Raze,Cypher,Omen,Jett,Skye"
Pearl,Team Clutch fi (DCC),Team mittiiii (DCC),9,13,2,5,"Jett,Astra,KAY/O,Chamber,Fade","Sova,Killjoy,Phoenix,Jett,Astra"
Pearl,Team ade (DCC),Team SurugaMonkey (DCC),7,13,4,5,"Sova,Killjoy,Jett,Astra,KAY/O","Sova,Killjoy,Jett,Astra,KAY/O"
Haven,Team Clutch fi (DCC),Team mittiiii (DCC),15,13,10,9,"Cypher,Sova,Omen,Jett,Iso","Breach,Cypher,Sova,Omen,Jett"
Haven,Team ade (DCC),Team SurugaMonkey (DCC),13,11,9,8,"Breach,Sova,Killjoy,Omen,Jett","Breach,Sova,Killjoy,Omen,Jett"
Pearl,Team Clutch fi (DCC),Team SurugaMonkey (DCC),7,13,2,7,"Jett,Astra,KAY/O,Chamber,Fade","Sova,Killjoy,Jett,Astra,KAY/O"
Haven,Team ade (DCC),Team mittiiii (DCC),13,9,5,2,"Sova,Killjoy,Omen,Jett,Iso","Breach,Cypher,Sova,Omen,Jett"
Split,Team ade (DCC),Team SurugaMonkey (DCC),13,9,4,1,"Raze,Cypher,Viper,Omen,Skye","Breach,Raze,Cypher,Omen,Jett"
Haven,Team Clutch fi (DCC),Team mittiiii (DCC),13,11,4,3,"Cypher,Sova,Omen,Jett,Iso","Breach,Cypher,Sova,Omen,Jett"
Split,Team Clutch fi (DCC),Team ade (DCC),11,13,4,5,"Raze,Viper,Omen,Jett,Skye","Raze,Cypher,Viper,Omen,Skye"
Haven,Team SurugaMonkey (DCC),Team mittiiii (DCC),13,8,5,4,"Breach,Sova,Killjoy,Omen,Jett","Breach,Cypher,Sova,Omen,Jett"
Pearl,AlQadsiah Esports,The Ultimates,4,13,4,5,"Sova,Killjoy,Astra,KAY/O,Neon","Sova,Killjoy,Jett,Astra,KAY/O"
Abyss,AlQadsiah Esports,The Ultimates,1,13,1,2,"Cypher,Sova,Yoru,Astra,KAY/O","Cypher,Sova,Jett,Astra,KAY/O"
Split,BBL PCIFIC,Bayern Neverlosen,13,4,2,1,"Raze,Cypher,Sage,Skye,Astra","Breach,Cypher,Omen,Skye,Yoru"
Haven,AlQadsiah Esports,The Ultimates,2,13,0,10,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Abyss,Istanbul Wildcats,USTUNLUKURANLAR,11,13,8,9,"Cypher,Sova,Jett,Astra,KAY/O","Breach,Cypher,Sova,Jett,Astra"
