Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Abyss,EDward Gaming,Team Heretics,13,9,8,5,"Sova,Omen,Jett,Astra,KAY/O","Cypher,Sova,Jett,Astra,Gekko"
Bind,EDward Gaming,Team Heretics,11,13,6,7,"Raze,Viper,Brimstone,Fade,Gekko","Raze,Viper,Brimstone,Fade,Gekko"
Lotus,EDward Gaming,Team Heretics,13,9,7,6,"Breach,Omen,Neon,Fade,Clove","Raze,Killjoy,Viper,Omen,Fade"
Sunset,EDward Gaming,Team Heretics,13,4,11,3,"Cypher,Sova,Omen,KAY/O,Neon","Raze,Cypher,Sova,Omen,KAY/O"
Haven,EDward Gaming,Team Heretics,6,13,3,4,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Lotus,Leviatán,Team Heretics,3,13,2,11,"Breach,Raze,Cypher,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
Abyss,Leviatán,Team Heretics,13,9,5,2,"Cypher,Sova,Omen,Jett,Harbor","Cypher,Sova,Jett,Astra,Gekko"
Sunset,Leviatán,Team Heretics,13,15,9,10,"Breach,Cypher,Sova,Omen,Neon","Raze,Cypher,Sova,Omen,KAY/O"
Icebox,Leviatán,Team Heretics,7,13,5,6,"Sova,Killjoy,Viper,Jett,Harbor","Sova,Killjoy,Viper,Neon,Gekko"
Abyss,Team Heretics,Sentinels,13,7,5,4,"Cypher,Sova,Jett,Astra,Gekko","Cypher,Sova,Omen,Jett,KAY/O"
Icebox,Team Heretics,Sentinels,13,9,5,2,"Sova,Killjoy,Viper,Neon,Gekko","Sova,Killjoy,Viper,Jett,KAY/O"
Haven,Team Heretics,Sentinels,8,13,5,6,"Raze,Killjoy,Sage,Omen,Gekko","Breach,Cypher,Sova,Omen,Neon"
Abyss,EDward Gaming,Leviatán,13,11,6,5,"Sova,Omen,Jett,Astra,KAY/O","Cypher,Sova,Omen,Jett,Harbor"
Lotus,EDward Gaming,Leviatán,13,4,8,0,"Breach,Omen,Neon,Fade,Clove","Breach,Raze,Cypher,Omen,Fade"
Icebox,EDward Gaming,Leviatán,14,16,3,4,"Sova,Killjoy,Viper,Jett,KAY/O","Sova,Killjoy,Viper,Jett,Harbor"
Icebox,Team Heretics,DRX,13,10,8,7,"Sova,Killjoy,Viper,Neon,Gekko","Sova,Killjoy,Viper,Jett,KAY/O"
Sunset,Team Heretics,DRX,13,5,6,5,"Raze,Cypher,Sova,Omen,KAY/O","Breach,Cypher,Sova,Omen,Neon"
Abyss,Team Heretics,DRX,5,13,0,7,"Cypher,Sova,Jett,Astra,Gekko","Cypher,Sova,Omen,Jett,KAY/O"
Lotus,Sentinels,FNATIC,13,6,8,2,"Raze,Killjoy,Viper,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
Bind,Sentinels,FNATIC,9,13,7,8,"Raze,Viper,Brimstone,Fade,Gekko","Raze,Viper,Astra,Fade,Gekko"
Sunset,Sentinels,FNATIC,13,11,9,8,"Raze,Cypher,Omen,KAY/O,Gekko","Breach,Raze,Cypher,Sova,Astra"
Lotus,Leviatán,Team Heretics,13,10,9,8,"Breach,Raze,Cypher,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
Icebox,Leviatán,Team Heretics,15,13,8,7,"Sova,Killjoy,Viper,Jett,Harbor","Sova,Killjoy,Viper,Neon,Gekko"
Sunset,Sentinels,EDward Gaming,6,13,4,10,"Breach,Cypher,Omen,Neon,Fade","Cypher,Sova,Omen,KAY/O,Neon"
Lotus,Sentinels,EDward Gaming,9,13,3,6,"Raze,Killjoy,Viper,Omen,Fade","Breach,Omen,Neon,Fade,Clove"
Haven,Sentinels,EDward Gaming,13,9,8,5,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Bind,G2 Esports,FNATIC,11,13,7,8,"Raze,Viper,Brimstone,Skye,Gekko","Raze,Viper,Astra,Fade,Gekko"
Haven,G2 Esports,FNATIC,3,13,3,4,"Sova,Killjoy,Viper,Omen,Yoru","Cypher,Sova,Omen,Yoru,Iso"
Abyss,DRX,Trace Esports,13,5,4,3,"Cypher,Sova,Omen,Jett,KAY/O","Cypher,Sova,Jett,Astra,KAY/O"
Lotus,DRX,Trace Esports,13,3,10,1,"Raze,Viper,Omen,Chamber,Fade","Raze,Killjoy,Viper,Omen,Fade"
Abyss,Team Heretics,FNATIC,14,12,10,9,"Cypher,Sova,Jett,Astra,Gekko","Sova,Killjoy,Viper,Yoru,Astra"
Lotus,Team Heretics,FNATIC,13,3,4,3,"Raze,Killjoy,Viper,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
Abyss,G2 Esports,Leviatán,5,13,4,5,"Sova,Killjoy,Viper,Yoru,Astra","Cypher,Sova,Omen,Jett,Harbor"
Icebox,G2 Esports,Leviatán,14,16,10,11,"Sova,Killjoy,Viper,Harbor,Gekko","Sova,Killjoy,Viper,Jett,Harbor"
Sunset,Trace Esports,EDward Gaming,10,13,2,3,"Breach,Raze,Cypher,Sova,Omen","Cypher,Sova,Omen,KAY/O,Neon"
Bind,Trace Esports,EDward Gaming,7,13,5,10,"Raze,Cypher,Brimstone,Skye,Deadlock","Raze,Viper,Brimstone,Fade,Gekko"
Haven,DRX,Sentinels,8,13,2,6,"Breach,Cypher,Sova,Omen,Jett","Breach,Cypher,Sova,Omen,Neon"
Sunset,DRX,Sentinels,13,15,7,8,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Omen,Neon,Fade"
Lotus,EDward Gaming,Paper Rex,13,4,9,1,"Breach,Omen,Neon,Fade,Clove","Raze,Cypher,Omen,Jett,Skye"
Sunset,EDward Gaming,Paper Rex,13,8,6,2,"Cypher,Sova,Omen,KAY/O,Neon","Breach,Raze,Sage,Omen,Gekko"
Icebox,EDward Gaming,Paper Rex,3,13,0,9,"Sova,Killjoy,Viper,Jett,KAY/O","Sova,Killjoy,Viper,Sage,Jett"
Sunset,Leviatán,Team Vitality,13,4,3,2,"Breach,Cypher,Sova,Omen,Neon","Cypher,Sova,Omen,KAY/O,Neon"
Icebox,Leviatán,Team Vitality,14,12,6,5,"Sova,Killjoy,Viper,Jett,Harbor","Sova,Killjoy,Viper,Jett,Gekko"
Lotus,FNATIC,KRÜ Esports,13,5,5,4,"Raze,Killjoy,Viper,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
Haven,FNATIC,KRÜ Esports,13,9,7,6,"Cypher,Sova,Omen,Yoru,Iso","Breach,Cypher,Sova,Omen,Neon"
Sunset,FNATIC,KRÜ Esports,11,13,7,8,"Breach,Raze,Cypher,Sova,Astra","Breach,Cypher,Sova,Omen,Neon"
Icebox,Gen.G Esports,Sentinels,6,13,5,6,"Killjoy,Viper,Jett,KAY/O,Gekko","Sova,Killjoy,Viper,Jett,KAY/O"
Lotus,Gen.G Esports,Sentinels,9,13,4,7,"Raze,Killjoy,Viper,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
Bind,FUT Esports,Paper Rex,6,13,3,4,"Raze,Viper,Brimstone,Fade,Gekko","Raze,Viper,Brimstone,Fade,Gekko"
Sunset,FUT Esports,Paper Rex,11,13,6,7,"Breach,Raze,Cypher,Omen,Gekko","Breach,Raze,Sage,Omen,Gekko"
Sunset,TALON,Team Vitality,8,13,2,6,"Raze,Cypher,Omen,Fade,Deadlock","Cypher,Sova,Omen,KAY/O,Neon"
Lotus,TALON,Team Vitality,6,13,4,10,"Raze,Omen,Fade,Deadlock,Clove","Breach,Raze,Cypher,Omen,Fade"
Icebox,Bilibili Gaming,KRÜ Esports,4,13,3,4,"Killjoy,Viper,Sage,Jett,KAY/O","Sova,Killjoy,Viper,Jett,Gekko"
Lotus,Bilibili Gaming,KRÜ Esports,9,13,7,8,"Breach,Viper,Omen,Neon,Fade","Raze,Killjoy,Viper,Omen,Fade"
Lotus,Sentinels,FunPlus Phoenix,13,5,4,3,"Raze,Killjoy,Viper,Omen,Fade","Breach,Viper,Omen,Chamber,Gekko"
Bind,Sentinels,FunPlus Phoenix,13,8,4,0,"Raze,Viper,Brimstone,Fade,Gekko","Viper,Omen,Yoru,Chamber,Fade"
Bind,EDward Gaming,G2 Esports,11,13,8,9,"Raze,Viper,Brimstone,Fade,Gekko","Raze,Viper,Brimstone,Skye,Gekko"
Haven,EDward Gaming,G2 Esports,11,13,5,6,"Breach,Cypher,Sova,Omen,Neon","Sova,Killjoy,Viper,Omen,Yoru"
Icebox,EDward Gaming,G2 Esports,13,8,9,5,"Sova,Killjoy,Viper,Jett,KAY/O","Sova,Killjoy,Viper,Harbor,Gekko"
Ascent,Leviatán,Trace Esports,5,13,2,3,"Cypher,Sova,Omen,Jett,Deadlock","Sova,Killjoy,Omen,Jett,KAY/O"
Sunset,Leviatán,Trace Esports,13,9,6,5,"Breach,Cypher,Sova,Omen,Neon","Breach,Raze,Cypher,Sova,Omen"
Bind,Leviatán,Trace Esports,10,13,5,7,"Raze,Viper,Brimstone,Skye,Gekko","Raze,Cypher,Brimstone,Skye,Deadlock"
Lotus,FNATIC,DRX,6,13,1,7,"Raze,Killjoy,Viper,Omen,Fade","Raze,Viper,Omen,Chamber,Fade"
Abyss,FNATIC,DRX,11,13,5,6,"Sova,Killjoy,Viper,Yoru,Astra","Cypher,Sova,Omen,Jett,KAY/O"
