Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Lotus,Paper Rex,FNATIC,14,12,6,5,"Raze,Omen,Yoru,Fade,Vyse","Raze,Killjoy,Viper,Omen,Fade"
Pearl,Paper Rex,FNATIC,13,10,8,7,"Raze,Yoru,Astra,Fade,Vyse","Sova,Killjoy,Yoru,Astra,Neon"
Icebox,Paper Rex,FNATIC,15,17,8,9,"Sova,Killjoy,Viper,Omen,Jett","Sova,Killjoy,Viper,Sage,Jett"
Sunset,Paper Rex,FNATIC,13,11,8,7,"Raze,Sova,Viper,Sage,Omen","Cypher,Sova,Viper,Omen,Neon"
Ascent,Wolves Esports,FNATIC,5,13,4,5,"Cypher,Sova,Omen,Yoru,Deadlock","Sova,Omen,Yoru,Chamber,Vyse"
Lotus,Wolves Esports,FNATIC,13,10,7,6,"Raze,Killjoy,Viper,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
Icebox,Wolves Esports,FNATIC,4,13,3,4,"Sova,Killjoy,Viper,Jett,Gekko","Sova,Killjoy,Viper,Sage,Jett"
Split,Wolves Esports,FNATIC,9,13,7,10,"Raze,Cypher,Viper,Omen,Fade","Raze,Viper,Yoru,Astra,Fade"
Split,G2 Esports,FNATIC,10,13,3,5,"Breach,Viper,Omen,Yoru,Fade","Raze,Viper,Yoru,Astra,Fade"
Lotus,G2 Esports,FNATIC,10,13,6,7,"Viper,Omen,Yoru,Fade,Tejo","Raze,Killjoy,Viper,Omen,Fade"
Ascent,Paper Rex,Wolves Esports,13,8,5,4,"Viper,Omen,Jett,KAY/O,Fade","Cypher,Sova,Omen,Yoru,Deadlock"
Lotus,Paper Rex,Wolves Esports,14,12,8,7,"Raze,Omen,Yoru,Fade,Vyse","Raze,Killjoy,Viper,Omen,Fade"
Icebox,Sentinels,FNATIC,9,13,7,8,"Killjoy,Viper,Omen,KAY/O,Gekko","Sova,Killjoy,Viper,Sage,Jett"
Ascent,Sentinels,FNATIC,7,13,3,8,"Omen,KAY/O,Vyse,Tejo,Waylay","Sova,Omen,Yoru,Chamber,Vyse"
