Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Fracture,FNATIC,Team Heretics,14,12,6,5,"Breach,Cypher,Brimstone,Neon,Tejo","Raze,Cypher,Brimstone,Yoru,Fade"
Icebox,FNATIC,Team Heretics,13,9,3,2,"Killjoy,Viper,Sage,Gekko,Tejo","Sova,Killjoy,Viper,Neon,Gekko"
Split,FNATIC,Team Heretics,13,4,9,1,"Raze,Viper,Yoru,Astra,Fade","Raze,Viper,Omen,Yoru,Fade"
Icebox,Team Heretics,Team Liquid,13,2,10,0,"Sova,Killjoy,Viper,Neon,Gekko","Killjoy,Viper,Jett,KAY/O,Gekko"
Ascent,Team Heretics,Team Liquid,13,10,8,7,"Cypher,Sova,Omen,Jett,Yoru","Cypher,Omen,Jett,Deadlock,Tejo"
Haven,Team Heretics,Team Liquid,13,3,10,1,"Cypher,Sova,Omen,Yoru,Iso","Cypher,Omen,Yoru,Deadlock,Tejo"
Fracture,Team Liquid,BBL Esports,13,8,9,5,"Breach,Brimstone,Neon,Vyse,Tejo","Breach,Cypher,Brimstone,Jett,Tejo"
Split,Team Liquid,BBL Esports,7,13,2,3,"Raze,Viper,Yoru,Astra,Fade","Breach,Raze,Sage,Omen,Deadlock"
Haven,Team Liquid,BBL Esports,13,11,9,8,"Cypher,Omen,Yoru,Deadlock,Tejo","Cypher,Sova,Omen,Yoru,Iso"
Icebox,Team Heretics,FNATIC,8,13,5,6,"Sova,Killjoy,Viper,Neon,Gekko","Killjoy,Viper,Sage,Gekko,Tejo"
Fracture,Team Heretics,FNATIC,6,13,5,6,"Breach,Cypher,Brimstone,Neon,Tejo","Breach,Cypher,Brimstone,Neon,Tejo"
Ascent,Team Liquid,Natus Vincere,13,8,6,2,"Cypher,Omen,Jett,Deadlock,Tejo","Cypher,Omen,Yoru,Deadlock,Tejo"
Split,Team Liquid,Natus Vincere,13,4,9,1,"Raze,Viper,Yoru,Astra,Fade","Raze,Omen,Astra,Fade,Vyse"
Icebox,Team Liquid,Natus Vincere,11,13,7,8,"Killjoy,Viper,Jett,KAY/O,Gekko","Killjoy,Viper,Omen,Gekko,Tejo"
Ascent,BBL Esports,FUT Esports,13,10,6,5,"Omen,Jett,KAY/O,Fade,Tejo","Sova,Killjoy,Omen,Yoru,KAY/O"
Split,BBL Esports,FUT Esports,13,2,3,2,"Breach,Raze,Cypher,Omen,Tejo","Viper,Omen,Yoru,Fade,Tejo"
Haven,BBL Esports,FUT Esports,12,14,8,9,"Breach,Cypher,Sova,Omen,Jett","Cypher,Sova,Omen,Chamber,Neon"
Icebox,Gen.G Esports,Rex Regum Qeon,11,13,5,6,"Killjoy,Viper,Yoru,KAY/O,Tejo","Killjoy,Viper,Jett,KAY/O,Tejo"
Lotus,Gen.G Esports,Rex Regum Qeon,9,13,2,5,"Raze,Viper,Omen,Fade,Vyse","Breach,Viper,Omen,Yoru,Tejo"
Ascent,Gen.G Esports,Rex Regum Qeon,11,13,9,10,"Sova,Killjoy,Omen,Jett,KAY/O","Cypher,Sova,Omen,Yoru,Tejo"
Haven,Gen.G Esports,Rex Regum Qeon,13,8,5,4,"Killjoy,Viper,Omen,Neon,Tejo","Cypher,Sova,Omen,Yoru,Iso"
Fracture,Team Liquid,FNATIC,12,14,8,9,"Breach,Brimstone,Neon,Vyse,Tejo","Breach,Cypher,Brimstone,Neon,Tejo"
Icebox,Team Liquid,FNATIC,13,11,7,6,"Killjoy,Viper,Jett,KAY/O,Gekko","Killjoy,Viper,Sage,Gekko,Tejo"
Split,Team Liquid,FNATIC,10,13,3,5,"Raze,Viper,Yoru,Astra,Fade","Raze,Viper,Yoru,Astra,Fade"
Icebox,Team Heretics,BBL Esports,14,12,7,6,"Killjoy,Viper,Neon,Gekko,Tejo","Killjoy,Viper,Jett,KAY/O,Tejo"
Ascent,Team Heretics,BBL Esports,13,10,4,3,"Cypher,Sova,Omen,Jett,Yoru","Omen,Jett,KAY/O,Fade,Tejo"
Ascent,Rex Regum Qeon,Paper Rex,13,6,9,3,"Cypher,Sova,Omen,Yoru,Tejo","Omen,Jett,KAY/O,Fade,Vyse"
