Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 1 Attacking Losses,Team 2 Attacking Wins,Team 2 Attacking Losses,Team 1 Agents,Team 2 Agents
Ascent,sou proplayer lixo?,Team Leveling,14,12,5,8,4,9,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Haven,sou proplayer lixo?,Team Leveling,13,6,6,1,5,7,"Breach,Sova,Killjoy,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Icebox,sou proplayer lixo?,Team Leveling,13,10,6,5,5,7,"Sova,Killjoy,Viper,Jett,Iso","Sova,Killjoy,Viper,Jett,Iso"
Ascent,Reckoning Esports,Mogo eSports,11,13,9,3,10,2,"Cypher,Sova,Omen,Jett,KAY/O","Cypher,Sova,Omen,Jett,Iso"
Bind,Reckoning Esports,Mogo eSports,6,13,5,7,6,1,"Raze,Cypher,Brimstone,Skye,Gekko","Raze,Cypher,Viper,Brimstone,Gekko"
Lotus,Orangutan,Niory Esports,13,7,5,3,4,8,"Cypher,Sage,Omen,Fade,Deadlock","Breach,Sova,Killjoy,Omen,Neon"
Icebox,Orangutan,Niory Esports,13,11,6,6,5,7,"Sova,Killjoy,Viper,Jett,Gekko","Sova,Killjoy,Viper,Jett,Iso"
Haven,Xipto Esports,ZETA DIVISION GC,13,5,10,2,3,3,"Killjoy,Viper,Omen,Jett,Skye","Breach,Cypher,Sova,Omen,Neon"
Icebox,Xipto Esports,ZETA DIVISION GC,13,2,3,0,2,10,"Killjoy,Viper,Jett,KAY/O,Gekko","Sova,Killjoy,Viper,Jett,KAY/O"
Sunset,Xipto Esports,ZETA DIVISION GC,13,8,6,6,2,7,"Cypher,Sova,Omen,KAY/O,Neon","Breach,Raze,Cypher,Sova,Omen"
Haven,Shopify Rebellion,oomfies,13,10,8,4,6,5,"Breach,Cypher,Sova,Omen,Neon","Cypher,Sova,Viper,Phoenix,Harbor"
Ascent,Shopify Rebellion,oomfies,13,6,6,1,5,7,"Cypher,Sova,Omen,Yoru,Deadlock","Cypher,Sova,Jett,Deadlock,Clove"
Sunset,Skout Esports,Cobweb eSports,13,7,7,1,6,6,"Cypher,Sova,Reyna,Omen,Jett","Breach,Cypher,Sova,Omen,Neon"
Lotus,oomfies,Teddy Tactics,13,5,6,0,5,7,"Raze,Cypher,Fade,Deadlock,Clove","Breach,Raze,Killjoy,Astra,Fade"
Icebox,Shopify Rebellion,Refrag,13,2,3,0,2,10,"Killjoy,Viper,Reyna,KAY/O,Gekko","Sova,Killjoy,Viper,Jett,Clove"
Lotus,Skout Esports,Cobweb eSports,2,13,2,10,3,0,"Breach,Raze,Killjoy,Omen,Neon","Breach,Killjoy,Viper,Omen,Neon"
Bind,Shopify Rebellion,Refrag,13,4,3,2,2,10,"Raze,Cypher,Viper,Brimstone,Skye","Raze,Viper,Brimstone,Gekko,Iso"
Haven,oomfies,Teddy Tactics,13,10,6,5,5,7,"Cypher,Sova,Viper,Phoenix,Harbor","Breach,Cypher,Sova,Jett,Astra"
Ascent,Skout Esports,Cobweb eSports,13,11,9,3,8,4,"Cypher,Sova,Phoenix,Omen,Jett","Sova,Killjoy,Omen,Jett,KAY/O"
Bind,Vila das Flores,Team Leveling,4,13,2,3,10,2,"Raze,Cypher,Brimstone,Skye,Deadlock","Raze,Viper,Brimstone,Skye,Gekko"
Haven,Vila das Flores,Team Leveling,14,16,6,9,7,8,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Icebox,REVOADA,sou proplayer lixo?,8,13,5,4,9,3,"Sova,Killjoy,Viper,Jett,Gekko","Sova,Killjoy,Viper,Jett,Iso"
Split,Essence,Avoid Esports,9,13,3,7,6,6,"Raze,Viper,Jett,Skye,Astra","Raze,Cypher,Omen,Jett,Skye"
Haven,Tani Amaterasu,SC (Spain),13,1,2,0,1,11,"Breach,Sova,Killjoy,Omen,Jett","Breach,Brimstone,Sage,Jett,Chamber"
Bind,1000rr club,TzManiacs,14,12,4,9,3,10,"Raze,Cypher,Brimstone,Reyna,Fade","Raze,Viper,Omen,Skye,Fade"
Ascent,Golden Monkeys,Waist EC,13,15,5,9,6,8,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Haven,God eSports,AMBYS Team,1,13,0,2,11,1,"Breach,Cypher,Omen,Neon,Gekko","Cypher,Skye,Neon,Iso,Clove"
Ascent,REVOADA,sou proplayer lixo?,5,13,5,7,6,0,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Abyss,Zenturions,Tani Susano,5,13,3,9,4,2,"Cypher,Sova,Jett,Astra,KAY/O","Cypher,Sova,Jett,Astra,KAY/O"
Abyss,CDC Valorant,Guinea Pink Silkie,13,5,4,2,3,9,"Cypher,Sova,Jett,Astra,Gekko","Breach,Cypher,Jett,Astra,Gekko"
Bind,Mighty Meerkats,SPH WASHED,9,13,7,5,8,2,"Raze,Viper,Brimstone,Skye,Gekko","Breach,Raze,Cypher,Reyna,Clove"
Ascent,NGS ,Nick Hers,13,9,8,2,7,5,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Sunset,Universae,vortex esports,13,5,5,1,4,8,"Breach,Raze,Cypher,Omen,Gekko","Breach,Cypher,Sova,Omen,Neon"
Ascent,Visions eSports,ADCeuta esports,5,13,5,7,6,0,"Cypher,Sova,Omen,Jett,Deadlock","Sova,Killjoy,Omen,Jett,KAY/O"
Haven,5GY eSports,El Barco Esports,8,13,5,7,6,3,"Breach,Cypher,Sova,Omen,Neon","Breach,Sova,Killjoy,Astra,Neon"
Sunset,TEAM VELAXIS,Melilla Titans Aura,13,9,7,5,4,6,"Breach,Raze,Cypher,Omen,KAY/O","Breach,Cypher,Sova,Omen,Neon"
