Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 1 Attacking Losses,Team 2 Attacking Wins,Team 2 Attacking Losses,Team 1 Agents,Team 2 Agents
Split,Delight,IGZIST,13,3,3,1,2,10,"Raze,Skye,Astra,Deadlock","Breach,Raze,Astra,Neon"
Abyss,BABO,AXELERATE,13,0,12,0,0,1,"Cypher,Sova,Omen,Jett,KAY/O","Sova,Omen,Jett,Astra,KAY/O"
Sunset,Striders,ASNA,13,4,10,2,2,3,"Breach,Cypher,Omen,Neon,Fade","Omen,Chamber,Neon,Fade"
Sunset,RIDDLE ORDER,FAV gaming,13,10,7,4,6,6,"Cypher,Sova,Omen,KAY/O,Neon","Breach,Cypher,Sova,Omen,Neon"
Haven,Delight,IGZIST,9,13,5,7,6,4,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Bind,BABO,AXELERATE,13,6,8,4,2,5,"Raze,Viper,Brimstone,Fade,Gekko","Raze,Cypher,Viper,Brimstone,Skye"
Abyss,Striders,ASNA,13,9,6,4,5,7,"Omen,Jett,Yoru,Astra,Gekko","Sova,Omen,Yoru,Astra,Iso"
Sunset,BC SWELL,Team SEIBI,13,10,8,4,6,5,"Omen,Jett,Neon,Fade,Clove","Breach,Cypher,Omen,Neon,Fade"
Pearl,Striders,ASNA,7,13,2,6,7,5,"Killjoy,Astra,KAY/O,Neon,Fade","Yoru,Astra,Neon,Fade,Harbor"
Haven,BABO,AXELERATE,12,14,8,5,9,4,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Abyss,BC SWELL,Team SEIBI,13,3,2,2,1,11,"Sova,Omen,Astra,Neon,Iso","Cypher,Sova,Omen,Jett,KAY/O"
Sunset,Delight,IGZIST,13,7,5,3,4,8,"Breach,Cypher,Sova,Omen,Neon","Cypher,Sova,Omen,KAY/O,Neon"
Split,YFP Gaming,Blue Otter,13,10,4,8,2,9,"Breach,Raze,Cypher,Skye,Astra","Raze,Cypher,Viper,Skye,Astra"
Split,FUSION,Six Karma,6,13,0,7,6,6,"Raze,Omen,Jett,Skye,Deadlock","Breach,Cypher,Astra,KAY/O,Neon"
Sunset,YFP Gaming,Blue Otter,13,10,5,7,3,8,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Haven,FUSION,Six Karma,12,14,8,5,9,4,"Breach,Cypher,Sova,Omen,Jett","Breach,Cypher,Sova,Omen,Neon"
Ascent,YFP Gaming,Blue Otter,9,13,3,7,6,6,"Cypher,Sova,Omen,Jett,Deadlock","Cypher,Sova,Omen,Yoru,Deadlock"
Sunset,FUSION,Six Karma,13,11,4,8,3,9,"Cypher,Sova,Omen,Neon,Deadlock","Cypher,Sova,Omen,KAY/O,Neon"
Abyss,YFP Gaming,SaD Esports,13,9,5,7,2,8,"Cypher,Sova,Jett,Astra,KAY/O","Cypher,Sova,Viper,Yoru,Astra"
Bind,FUSION,Six Karma,13,11,7,5,6,6,"Raze,Brimstone,Sage,Skye,Deadlock","Viper,Brimstone,Yoru,Fade,Gekko"
Sunset,Nightblood Gaming,RANKERS,8,13,3,6,7,5,"Breach,Cypher,Omen,Neon,Fade","Cypher,Sova,Yoru,Iso,Clove"
Sunset,YFP Gaming,SaD Esports,13,10,7,4,6,6,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Ascent,FUSION,Six Karma,7,13,5,3,10,2,"Cypher,Sova,Omen,Jett,Deadlock","Cypher,Sova,Omen,Jett,KAY/O"
Ascent,Winthrop University,Blue Otter,12,14,8,5,9,4,"Cypher,Sova,Reyna,Omen,Jett","Cypher,Sova,Omen,Yoru,Deadlock"
Bind,Nightblood Gaming,RANKERS,9,13,7,5,8,2,"Viper,Brimstone,Skye,Neon,Deadlock","Cypher,Skye,Yoru,Iso,Clove"
Haven,YFP Gaming,SaD Esports,11,13,4,8,5,7,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Sunset,Winthrop University,Blue Otter,9,13,5,7,6,4,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Haven,esports team αD,Striders,13,8,5,4,4,8,"Breach,Cypher,Sova,Omen,Jett","Breach,Cypher,Sova,Omen,Neon"
Sunset,RIDDLE ORDER,BC SWELL,13,8,8,4,4,5,"Cypher,Sova,Omen,KAY/O,Neon","Omen,Jett,Neon,Fade,Clove"
Pearl,RIDDLE ORDER,BC SWELL,13,2,10,2,0,3,"Sova,Killjoy,Astra,KAY/O,Neon","Sova,Astra,KAY/O,Chamber,Neon"
Haven,REJECT,Delight,7,13,4,4,9,3,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Split,esports team αD,Striders,10,13,5,7,6,5,"Raze,Cypher,Omen,Jett,Skye","Raze,Cypher,Viper,Omen,Skye"
Split,REJECT,Delight,5,13,1,11,2,4,"Raze,Cypher,Omen,Skye","Raze,Skye,Astra,Deadlock"
Ascent,RIDDLE ORDER,BC SWELL,11,13,5,7,6,6,"Sova,Killjoy,Omen,Jett,KAY/O","Cypher,Sova,Omen,Jett,KAY/O"
Abyss,esports team αD,Striders,13,11,7,5,6,6,"Cypher,Sova,Omen,Jett,Clove","Omen,Jett,Yoru,Astra,Gekko"
Split,Sengoku Gaming,BABO,7,13,1,7,6,6,"Breach,Raze,Cypher,Omen,Skye","Breach,Raze,Viper,Omen,Fade"
Ascent,Crest Gaming ZST,IGZIST,13,15,5,9,6,8,"Cypher,Sova,Omen,Jett,Deadlock","Sova,Killjoy,Omen,Jett,KAY/O"
Haven,Sengoku Gaming,BABO,8,13,4,8,5,4,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Abyss,FAV gaming,Team SEIBI,15,17,6,10,7,9,"Sova,Omen,Jett,Astra,KAY/O","Cypher,Sova,Omen,Jett,KAY/O"
Bind,BLUE BEES.ESP,ASNA,13,10,6,5,5,7,"Cypher,Brimstone,Skye,Neon,Deadlock","Raze,Yoru,Astra,Fade,Clove"
Bind,FAV gaming,Team SEIBI,13,2,10,2,0,3,"Breach,Yoru,Astra,Neon,Fade","Raze,Viper,Astra,Fade,Gekko"
Abyss,Crest Gaming ZST,IGZIST,13,9,4,6,3,9,"Cypher,Sova,Omen,Jett,KAY/O","Cypher,Sova,Omen,Yoru,Astra"
Ascent,BLUE BEES.ESP,ASNA,6,13,4,8,5,2,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Sunset,NOEZ FOXX,AXELERATE,13,10,8,4,6,5,"Omen,Yoru,KAY/O,Neon","Sova,Phoenix,Sage,Omen,Clove"
Sunset,FAV gaming,Team SEIBI,10,13,4,7,6,6,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Omen,Neon,Fade"
Abyss,BLUE BEES.ESP,ASNA,13,5,4,2,3,9,"Cypher,Sova,Jett,Astra,KAY/O","Sova,Omen,Yoru,Astra,Iso"
Ascent,NOEZ FOXX,AXELERATE,13,2,10,2,0,3,"Sova,Omen,Neon,Iso","Sova,Killjoy,Omen,Jett,KAY/O"
Split,Crest Gaming ZST,IGZIST,9,13,1,9,4,8,"Raze,Cypher,Viper,Omen,Skye","Breach,Raze,Astra,Neon"
Pearl,Funhavers,SaD Esports,5,13,3,3,10,2,"Sova,Killjoy,Astra,KAY/O,Neon","Cypher,Sova,Astra,KAY/O,Neon"
Split,YFP Gaming,RANKERS,2,13,2,10,3,0,"Raze,Viper,Skye,Astra","Cypher,Viper,Yoru,Iso,Clove"
Sunset,Antares Esports,Six Karma,8,13,3,9,4,5,"Cypher,Sova,Omen,KAY/O,Neon","Cypher,Sova,Omen,KAY/O,Neon"
Ascent,TSM,Blue Otter,9,13,3,7,6,6,"Cypher,Sova,Omen,Jett,KAY/O","Cypher,Sova,Omen,Yoru,Deadlock"
Haven,Funhavers,SaD Esports,9,13,3,9,4,6,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Ascent,Winthrop University,Nightblood Gaming,10,13,3,8,5,7,"Cypher,Sova,Omen,Jett,Deadlock","Cypher,Sova,Omen,Yoru,Deadlock"
Ascent,YFP Gaming,RANKERS,13,8,7,5,3,6,"Cypher,Sova,Omen,Jett,Deadlock","Cypher,Sova,Jett,Yoru,Clove"
Ascent,Antares Esports,Six Karma,3,13,3,9,4,0,"Sova,Killjoy,Omen,Jett,KAY/O","Cypher,Sova,Omen,Jett,KAY/O"
Sunset,YFP Gaming,RANKERS,5,13,5,7,6,0,"Breach,Cypher,Sova,Omen,Neon","Cypher,Sova,Yoru,Iso,Clove"
Bind,TSM,Blue Otter,8,13,6,6,7,2,"Raze,Viper,Brimstone,Skye,Deadlock","Raze,Viper,Brimstone,Skye,Gekko"
Abyss,Winthrop University,Nightblood Gaming,11,13,3,9,4,8,"Cypher,Sova,Jett,Astra,Gekko","Cypher,Sova,Omen,Yoru"
Sunset,Funhavers,SaD Esports,13,11,4,8,3,9,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Split,E-Xolos LAZER,FUSION,13,2,10,2,0,3,"Breach,Raze,Cypher,Omen,Skye","Raze,Sage,Omen,Skye,Deadlock"
Sunset,RANKERS,Blue Otter,13,7,4,4,3,9,"Cypher,Sova,Yoru,Neon,Clove","Breach,Sova,Sage,Omen,Neon"
Haven,E-Xolos LAZER,FUSION,13,8,7,2,6,6,"Breach,Cypher,Sova,Omen,Neon","Cypher,Sova,Omen,Jett,KAY/O"
Bind,Winthrop University,Funhavers,13,11,10,2,9,3,"Raze,Viper,Brimstone,Skye,Deadlock","Raze,Cypher,Omen,Yoru,Deadlock"
Ascent,YFP Gaming,TSM,13,11,5,7,4,8,"Cypher,Sova,Omen,Jett,Deadlock","Cypher,Sova,Omen,Jett,KAY/O"
Pearl,SaD Esports,Nightblood Gaming,5,13,3,9,4,2,"Cypher,Sova,Astra,KAY/O,Neon","Killjoy,Astra,KAY/O,Neon,Fade"
Bind,E-Xolos LAZER,FUSION,6,13,3,9,4,3,"Raze,Brimstone,Skye,KAY/O","Raze,Brimstone,Sage,Skye,Deadlock"
Ascent,RANKERS,Blue Otter,16,14,7,8,6,9,"Cypher,Sova,Jett,Yoru,Clove","Cypher,Sova,Omen,Yoru,Deadlock"
Pearl,Winthrop University,Funhavers,13,11,7,5,6,6,"Sova,Astra,KAY/O,Chamber,Neon","Sova,Killjoy,Astra,KAY/O,Neon"
Sunset,YFP Gaming,TSM,13,7,7,5,2,6,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Omen,Neon,Fade"
Haven,RANKERS,Blue Otter,7,13,5,7,6,2,"Cypher,Sova,Yoru,Neon,Clove","Breach,Cypher,Sova,Omen,Neon"
Bind,SaD Esports,Nightblood Gaming,9,13,5,5,8,4,"Raze,Cypher,Viper,Brimstone,Skye","Viper,Brimstone,Skye,Neon,Deadlock"
Sunset,Winthrop University,Funhavers,6,13,4,8,5,2,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Split,Crest Gaming ZST,Delight,14,16,9,6,10,5,"Raze,Cypher,Viper,Omen,Skye","Raze,Skye,Astra,Deadlock"
Pearl,BLUE BEES.ESP,Striders,14,16,7,8,8,7,"Sova,Killjoy,Jett,Astra,KAY/O","Killjoy,Astra,KAY/O,Neon,Fade"
Sunset,NOEZ FOXX,BABO,10,13,3,9,4,7,"Omen,Yoru,KAY/O,Neon","Cypher,Sova,Omen,KAY/O,Neon"
Sunset,Crest Gaming ZST,Delight,13,8,5,4,4,8,"Breach,Raze,Cypher,Brimstone,KAY/O","Breach,Cypher,Sova,Omen,Neon"
Abyss,FAV gaming,BC SWELL,6,13,3,9,4,3,"Sova,Omen,Jett,Astra,KAY/O","Sova,Omen,Astra,Neon,Iso"
Haven,BLUE BEES.ESP,Striders,12,14,7,6,8,5,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Haven,NOEZ FOXX,BABO,13,6,5,2,4,8,"Cypher,Sova,Omen,Neon,Iso","Breach,Cypher,Sova,Omen,Neon"
Bind,Crest Gaming ZST,Delight,10,13,3,9,4,7,"Raze,Cypher,Brimstone,KAY/O,Fade","Brimstone,Yoru,Neon,Fade,Clove"
Pearl,FAV gaming,BC SWELL,9,13,4,6,7,5,"Breach,Cypher,Sova,Astra,Neon","Sova,Astra,KAY/O,Chamber,Neon"
Abyss,BLUE BEES.ESP,Striders,13,5,4,2,3,9,"Cypher,Sova,Jett,Astra,KAY/O","Omen,Jett,Yoru,Astra,Gekko"
Abyss,NOEZ FOXX,BABO,13,15,6,8,7,7,"Cypher,Sova,Yoru,Astra,Neon","Cypher,Sova,Omen,Jett,KAY/O"
Haven,REJECT,IGZIST,8,13,5,4,9,3,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Bind,FAV gaming,BC SWELL,13,9,6,6,3,7,"Breach,Yoru,Astra,Neon,Fade","Raze,Cypher,Viper,Brimstone,Skye"
Ascent,esports team αD,ASNA,13,7,7,5,2,6,"Cypher,Sova,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Ascent,Sengoku Gaming,AXELERATE,13,9,7,5,4,6,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Sunset,REJECT,IGZIST,10,13,4,8,5,6,"Cypher,Sova,Omen,Yoru,Neon","Cypher,Sova,Omen,KAY/O,Neon"
Split,RIDDLE ORDER,Team SEIBI,13,3,9,3,0,4,"Raze,Viper,Omen,Jett,Skye","Breach,Raze,Cypher,Omen,Neon"
