Event Name,Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 1 Attacking Losses,Team 1 Defending Wins,Team 1 Defending Losses,Team 2 Attacking Wins,Team 2 Attacking Losses,Team 2 Defending Wins,Team 2 Defending Losses,Date,Team 1 Agents,Team 2 Agents
Champions Tour 2024 Pacific: Ascension - Playoffs,Bind,Sin Prisa Gaming,BOOM Esports,17,15,10,6,7,9,9,7,6,10,2024-09-29T00:00:00.000Z,"Cypher,Brimstone,Skye,Neon,Deadlock","Raze,Cypher,Viper,Brimstone,Skye"
Champions Tour 2024 Pacific: Ascension - Playoffs,Haven,Sin Prisa Gaming,BOOM Esports,10,13,9,3,1,10,10,1,3,9,2024-09-29T00:00:00.000Z,"Breach,Cypher,Sova,Omen,Neon","Cypher,Viper,Omen,Skye,Neon"
Champions Tour 2024 Pacific: Ascension - Playoffs,Lotus,Sin Prisa Gaming,BOOM Esports,12,14,6,7,6,7,7,6,7,6,2024-09-29T00:00:00.000Z,"Cypher,Viper,Omen,Neon,Fade","Raze,Cypher,Viper,Omen,Fade"
Champions Tour 2024 Pacific: Ascension - Playoffs,Icebox,Sin Prisa Gaming,BOOM Esports,13,10,3,9,10,1,1,10,9,3,2024-09-29T00:00:00.000Z,"Sova,Killjoy,Viper,Jett,Harbor","Sova,Killjoy,Viper,Jett,Harbor"
Champions Tour 2024 Pacific: Ascension - Playoffs,Sunset,Sin Prisa Gaming,BOOM Esports,13,6,9,3,4,3,3,4,3,9,2024-09-29T00:00:00.000Z,"Breach,Cypher,Neon,Fade,Clove","Breach,Raze,Cypher,Omen,Gekko"
Champions Tour 2024 Pacific: Ascension - Playoffs,Sunset,FULL SENSE,BOOM Esports,9,13,5,7,4,6,6,4,7,5,2024-09-28T00:00:00.000Z,"Breach,Cypher,Sova,Omen,Neon","Breach,Raze,Cypher,Omen,Gekko"
Champions Tour 2024 Pacific: Ascension - Playoffs,Lotus,FULL SENSE,BOOM Esports,14,12,8,5,6,7,7,6,5,8,2024-09-28T00:00:00.000Z,"Breach,Killjoy,Omen,Astra,Neon","Raze,Killjoy,Viper,Omen,Fade"
Champions Tour 2024 Pacific: Ascension - Playoffs,Abyss,FULL SENSE,BOOM Esports,9,13,3,7,6,6,6,6,7,3,2024-09-28T00:00:00.000Z,"Breach,Cypher,Omen,Jett,Gekko","Cypher,Sova,Omen,Yoru,Clove"
Champions Tour 2024 Pacific: Ascension - Playoffs,Ascent,FULL SENSE,BOOM Esports,7,13,3,9,4,4,4,4,9,3,2024-09-28T00:00:00.000Z,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Champions Tour 2024 Pacific: Ascension - Playoffs,Abyss,RIDDLE ORDER,BOOM Esports,3,13,0,4,3,9,9,3,4,0,2024-09-27T00:00:00.000Z,"Cypher,Sova,Omen,Jett,KAY/O","Cypher,Sova,Omen,Yoru,Clove"
