Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Pearl,Shopify Rebellion,MIBR GC,13,7,4,3,"Sova,Killjoy,Jett,Astra,KAY/O","Killjoy,Viper,Jett,Skye,Astra"
Sunset,Shopify Rebellion,MIBR GC,13,7,9,4,"Breach,Cypher,Sova,Omen,Neon","Breach,Raze,Cypher,Omen,Gekko"
Haven,Shopify Rebellion,MIBR GC,13,11,8,7,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Jett"
Sunset,G2 Gozen,MIBR GC,1,13,0,11,"Breach,Cypher,Omen,Neon,Fade","Breach,Raze,Cypher,Omen,Gekko"
Bind,G2 Gozen,MIBR GC,10,13,2,3,"Breach,Raze,Viper,Omen,Fade","Raze,Viper,Brimstone,Fade,Gekko"
Abyss,G2 Gozen,MIBR GC,9,13,6,7,"Cypher,Sova,Omen,Jett,KAY/O","Cypher,Sova,Jett,Astra,KAY/O"
Sunset,Xipto Esports,MIBR GC,5,13,1,8,"Cypher,Sova,Omen,KAY/O,Neon","Breach,Raze,Cypher,Omen,Gekko"
Split,Xipto Esports,MIBR GC,13,6,9,3,"Raze,Cypher,Omen,Skye,Neon","Breach,Raze,Viper,Omen,Skye"
Bind,Xipto Esports,MIBR GC,4,13,3,11,"Raze,Viper,Brimstone,Fade,Gekko","Raze,Viper,Brimstone,Fade,Gekko"
Haven,G2 Gozen,Shopify Rebellion,12,14,6,7,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Abyss,G2 Gozen,Shopify Rebellion,15,17,10,11,"Cypher,Sova,Omen,Jett,KAY/O","Cypher,Sova,Omen,Jett,KAY/O"
Pearl,Xipto Esports,KRÜ BLAZE,13,9,5,4,"Jett,Astra,Neon,Fade,Harbor","Cypher,Sova,Astra,KAY/O,Neon"
Abyss,Xipto Esports,KRÜ BLAZE,13,10,9,8,"Sova,Brimstone,Jett,Astra,KAY/O","Cypher,Sova,Omen,Jett,KAY/O"
Haven,Xipto Esports,KRÜ BLAZE,6,13,4,5,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Sunset,MIBR GC,ZETA DIVISION GC,13,3,9,0,"Breach,Raze,Cypher,Omen,Gekko","Breach,Raze,Cypher,Sova,Omen"
Ascent,MIBR GC,ZETA DIVISION GC,13,0,1,0,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Sunset,Shopify Rebellion,Xipto Esports,13,11,8,7,"Breach,Cypher,Sova,Omen,Neon","Cypher,Sova,Omen,KAY/O,Neon"
Pearl,Shopify Rebellion,Xipto Esports,13,8,6,2,"Sova,Killjoy,Jett,Astra,KAY/O","Jett,Astra,Neon,Fade,Harbor"
