Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Lotus,Corinthians Esports GC,RET GC,13,10,7,6,"Breach,Omen,Yoru,Vyse,Tejo","Breach,Omen,Neon,Vyse,Tejo"
Icebox,University War GC,Zen eSports GC,13,7,7,6,"Sova,Killjoy,Viper,Yoru,Iso","Killjoy,Viper,KAY/O,Tejo,Waylay"
Split,Las Cabras GC,HellGuardians Violet,13,3,4,3,"Breach,Viper,Omen,Tejo,Waylay","Breach,Raze,Cypher,Omen,Tejo"
Fracture,2Game GC,Ainda estamos aqui,13,4,4,3,"Breach,Raze,Cypher,Brimstone,Tejo","Breach,Cypher,Brimstone,Neon,Tejo"
Haven,Vila das Flores,Stellae Gaming GC,13,4,8,0,"Breach,Cypher,Omen,Jett,Tejo","Breach,Cypher,Omen,Jett,Tejo"
Haven,University War GC,Zen eSports GC,13,15,8,9,"Cypher,Omen,Yoru,Iso,Tejo","Breach,Cypher,Sova,Omen,Jett"
Haven,2Game GC,Ainda estamos aqui,13,7,8,3,"Breach,Cypher,Omen,Jett,Tejo","Breach,Cypher,Omen,Yoru,Tejo"
Haven,Las Cabras GC,HellGuardians Violet,13,10,8,6,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Jett"
Lotus,Vila das Flores,Stellae Gaming GC,13,1,11,0,"Breach,Raze,Omen,Vyse,Tejo","Breach,Raze,Viper,Omen,Tejo"
Fracture,Leviatán GC,KRÜ BLAZE,7,13,4,5,"Breach,Cypher,Brimstone,Neon,Tejo","Breach,Raze,Cypher,Brimstone,Neon"
Icebox,Team Liquid Brazil,MIBR GC,13,5,4,3,"Sova,Killjoy,Viper,Sage,Jett","Killjoy,Viper,Jett,KAY/O,Gekko"
Split,Parma Esports GC,NOVO Nightingale,7,13,5,6,"Raze,Cypher,Viper,Omen,Skye","Breach,Raze,Sage,Astra,Tejo"
Lotus,Leviatán GC,KRÜ BLAZE,3,13,3,4,"Breach,Omen,Neon,Vyse,Tejo","Breach,Viper,Omen,Yoru,Tejo"
Icebox,MIX GC,Prasso Clan,13,15,10,11,"Viper,Reyna,Jett,Gekko,Clove","Sova,Killjoy,Viper,Jett,KAY/O"
Split,Team Liquid Brazil,MIBR GC,13,9,6,3,"Breach,Raze,Viper,Omen,Tejo","Raze,Viper,Omen,Jett,Skye"
Split,Vila das Flores,Stellae Gaming GC,11,13,7,8,"Breach,Raze,Astra,Chamber,Tejo","Raze,Viper,Omen,Vyse,Tejo"
Lotus,TwentyStars GC,EKO Esports GC,7,13,1,6,"Breach,Raze,Killjoy,Omen,Fade","Breach,Raze,Cypher,Omen,Tejo"
Lotus,KOI Fénix,ZETA Gaming,13,5,7,0,"Breach,Sova,Killjoy,Omen,Neon","Breach,Omen,Vyse,Tejo,Waylay"
Icebox,Mandatory,DVM Esport,13,8,4,3,"Cypher,Viper,Omen,Tejo,Waylay","Killjoy,Viper,Sage,Jett,KAY/O"
Haven,Parma Esports GC,NOVO Nightingale,10,13,6,7,"Breach,Sova,Killjoy,Omen,Neon","Breach,Sova,Killjoy,Omen,Jett"
Haven,KOI Fénix,ZETA Gaming,13,2,3,2,"Breach,Cypher,Sova,Omen,Jett","Breach,Cypher,Sova,Omen,Jett"
Split,MIX GC,Prasso Clan,11,13,7,8,"Breach,Viper,Omen,Jett,Iso","Breach,Raze,Cypher,Omen,Tejo"
Pearl,TwentyStars GC,EKO Esports GC,4,13,0,8,"Killjoy,Phoenix,Jett,Skye,Astra","Killjoy,Jett,Astra,KAY/O,Tejo"
Ascent,Leviatán GC,KRÜ BLAZE,14,12,8,7,"Sova,Omen,Jett,KAY/O,Vyse","Omen,Yoru,KAY/O,Vyse,Tejo"
Pearl,NOVO Esports,HGE Esports,3,13,2,3,"Sova,Yoru,Astra,Chamber,Vyse","Sova,Yoru,Astra,Chamber,Vyse"
Fracture,UCAM Esports Club,FALKE ESPORTS,4,13,1,9,"Breach,Cypher,Brimstone,Neon,Tejo","Breach,Raze,Brimstone,Vyse,Tejo"
Haven,Eclipse Esports GC,Huskies eSports GC,13,8,5,1,"Cypher,Sova,Omen,Yoru,Iso","Breach,Cypher,Omen,Iso,Tejo"
Haven,Mandatory,DVM Esport,17,15,9,8,"Cypher,Sova,Omen,Yoru,Iso","Sova,Killjoy,Viper,Omen,Jett"
Lotus,UCAM Esports Club,FALKE ESPORTS,2,13,0,10,"Breach,Omen,Neon,Vyse,Tejo","Breach,Cypher,Sova,Omen,Yoru"
Icebox,VOSC Omnia Imperium,Axolotl Esports GC,5,13,1,8,"Sova,Killjoy,Viper,Jett,Gekko","Sova,Viper,Reyna,Gekko,Waylay"
Haven,NOVO Esports,HGE Esports,13,6,8,2,"Breach,Cypher,Omen,Jett,Tejo","Cypher,Sova,Omen,Yoru,Iso"
Split,Cicadas Gaming,La Masia,4,13,2,3,"Breach,Raze,Cypher,Omen,Tejo","Breach,Raze,Cypher,Omen,Deadlock"
Ascent,Eclipse Esports GC,Huskies eSports GC,9,13,5,6,"Breach,Sova,Killjoy,Omen,Jett","Killjoy,Omen,Jett,KAY/O,Tejo"
Haven,VOSC Omnia Imperium,Axolotl Esports GC,3,13,2,3,"Cypher,Sova,Omen,Yoru,Iso","Breach,Cypher,Sova,Omen,Jett"
Split,KPI Gaming,Ramboot Club,9,13,4,7,"Breach,Raze,Cypher,Omen,Tejo","Raze,Viper,Omen,Fade,Iso"
Lotus,Cicadas Gaming,La Masia,12,14,6,7,"Breach,Viper,Omen,Yoru,Tejo","Breach,Cypher,Omen,Neon,Tejo"
Pearl,DNSTY,Barça eSports,11,13,8,9,"Yoru,Astra,Fade,Vyse,Tejo","Sova,Killjoy,Yoru,Astra,Tejo"
Pearl,KPI Gaming,Ramboot Club,17,19,4,5,"Yoru,Astra,Fade,Vyse,Tejo","Phoenix,Jett,Astra,Fade,Vyse"
Split,DNSTY,Barça eSports,8,13,3,7,"Breach,Raze,Cypher,Omen,Tejo","Breach,Viper,Omen,Yoru,Tejo"
Haven,BOOM Esports,Global Esports,13,11,5,4,"Breach,Cypher,Sova,Omen,Neon","Cypher,Sova,Omen,Yoru,Iso"
Lotus,BOOM Esports,Global Esports,13,1,2,1,"Breach,Viper,Omen,Neon,Tejo","Breach,Cypher,Omen,Yoru,Tejo"
Ascent,TALON,Rex Regum Qeon,5,13,1,8,"Yoru,Astra,Deadlock,Vyse,Tejo","Cypher,Sova,Omen,Yoru,Tejo"
Lotus,TALON,Rex Regum Qeon,8,13,5,6,"Breach,Omen,Neon,Vyse,Tejo","Breach,Viper,Omen,Yoru,Tejo"
Icebox,Overlooked Entertainment,Labyrinth Chaos,7,13,2,7,"Killjoy,Viper,KAY/O,Gekko,Waylay","Sova,Viper,Jett,Chamber,Iso"
Lotus,Infinity Esports,Exolved Esports,10,13,7,8,"Breach,Raze,Omen,Vyse,Tejo","Breach,Raze,Omen,Vyse,Tejo"
Pearl,Overlooked Entertainment,Labyrinth Chaos,7,13,2,7,"Yoru,Astra,Chamber,Fade,Vyse","Killjoy,Jett,Yoru,Astra,Fade"
Pearl,Nerve Esports Onyx,Lux Nova,9,13,4,7,"Yoru,Astra,Fade,Vyse,Tejo","Jett,Astra,KAY/O,Fade,Vyse"
Ascent,Leviatán,Cloud9,3,13,1,2,"Cypher,Sova,Omen,Yoru,Deadlock","Sova,Omen,Yoru,Deadlock,Vyse"
Haven,Infinity Esports,Exolved Esports,4,13,4,5,"Breach,Cypher,Sova,Omen,Jett","Breach,Killjoy,Omen,Jett,Tejo"
Haven,Maryville University,Berzerkers,13,10,5,4,"Breach,Sova,Killjoy,Omen,Jett","Breach,Cypher,Sova,Omen,Jett"
Haven,Overlooked Entertainment,Labyrinth Chaos,13,10,8,7,"Breach,Cypher,Omen,Yoru,Tejo","Cypher,Sova,Phoenix,Omen,Jett"
