Event Name,Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 1 Attacking Losses,Team 1 Defending Wins,Team 1 Defending Losses,Team 2 Attacking Wins,Team 2 Attacking Losses,Team 2 Defending Wins,Team 2 Defending Losses,Date,Team 1 Agents,Team 2 Agents
VALORANT Champions 2023 - Playoffs,Lotus,Paper Rex,Evil Geniuses,10,13,7,5,3,8,8,3,5,7,2023-08-26T00:00:00.000Z,"Raze,Omen,Jett,Skye,Astra","Raze,Killjoy,Viper,Skye,Astra"
VALORANT Champions 2023 - Playoffs,Bind,Paper Rex,Evil Geniuses,5,13,3,9,2,4,4,2,9,3,2023-08-26T00:00:00.000Z,"Breach,Raze,Brimstone,Skye,Yoru","Raze,Viper,Brimstone,Skye,Chamber"
VALORANT Champions 2023 - Playoffs,Ascent,Paper Rex,Evil Geniuses,13,11,7,5,6,6,6,6,5,7,2023-08-26T00:00:00.000Z,"Raze,Viper,Reyna,KAY/O,Harbor","Sova,Killjoy,Omen,Jett,KAY/O"
VALORANT Champions 2023 - Playoffs,Split,Paper Rex,Evil Geniuses,10,13,8,4,2,9,9,2,4,8,2023-08-26T00:00:00.000Z,"Raze,Viper,Jett,Skye,Astra","Raze,Viper,Jett,Skye,Astra"
VALORANT Champions 2023 - Playoffs,Bind,Evil Geniuses,LOUD,13,8,7,5,6,3,3,6,5,7,2023-08-25T00:00:00.000Z,"Raze,Viper,Brimstone,Skye,Chamber","Raze,Viper,Brimstone,Omen,Skye"
VALORANT Champions 2023 - Playoffs,Split,Evil Geniuses,LOUD,7,13,4,4,3,9,9,3,4,4,2023-08-25T00:00:00.000Z,"Raze,Viper,Skye,Astra,Chamber","Breach,Raze,Killjoy,Skye,Astra"
VALORANT Champions 2023 - Playoffs,Pearl,Evil Geniuses,LOUD,8,13,5,4,3,9,9,3,4,5,2023-08-25T00:00:00.000Z,"Sova,Killjoy,Jett,Yoru,Astra","Killjoy,Viper,Jett,Skye,Harbor"
VALORANT Champions 2023 - Playoffs,Lotus,Evil Geniuses,LOUD,13,4,10,2,3,2,2,3,2,10,2023-08-25T00:00:00.000Z,"Raze,Killjoy,Viper,Skye,Astra","Raze,Killjoy,Viper,Omen,Fade"
VALORANT Champions 2023 - Playoffs,Ascent,Evil Geniuses,LOUD,14,12,8,5,6,7,7,6,5,8,2023-08-25T00:00:00.000Z,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
VALORANT Champions 2023 - Playoffs,Haven,FNATIC,LOUD,7,13,4,8,3,5,5,3,8,4,2023-08-25T00:00:00.000Z,"Breach,Sova,Killjoy,Jett,Astra","Killjoy,Viper,Jett,Skye,Harbor"
VALORANT Champions 2023 - Playoffs,Ascent,FNATIC,LOUD,13,9,8,2,5,7,7,5,2,8,2023-08-25T00:00:00.000Z,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
VALORANT Champions 2023 - Playoffs,Split,FNATIC,LOUD,4,13,0,5,4,8,8,4,5,0,2023-08-24T00:00:00.000Z,"Breach,Raze,Cypher,Omen,Skye","Breach,Raze,Killjoy,Skye,Astra"
